3,000	3,000	3,000	180	180	360					360
4,500	4,500	4,500	270	270	540					540
6,000	6,000	6,000	360	360	720					720
10,000	10,000	6,000	360	360	720	4,000	240	240	480	1,200
14,000	14,000	6,000	360	360	720	8,000	480	480	960	1,680
18,000	18,000	6,000	360	360	720	12,000	720	720	1,440	2,160
20,000	18,000	6,000	360	360	720	12,000	720	720	1,440	2,160
100,000	18,000	6,000	360	360	720	12,000	720	720	1,440	2,160
500,000	18,000	6,000	360	360	720	12,000	720	720	1,440	2,160
